"year","queries_total","services_total","queries_per_service","data_repositories_total"
2003,590337,118,5002.85593220339,18
2004,7802581,342,22814.5643274854,33
2005,13488022,487,27696.1437371663,46
2006,29728537,568,52338.9735915493,56
2007,42695206,618,69086.0938511327,74
2008,73952637,735,100615.832653061,79
2009,98079336,976,100491.12295082,111
2010,218857198,1100,198961.089090909,119
2011,227076213,1117,203291.148612355,116
2012,254090696,1276,199130.639498433,114
2013,273183821,1421.5,192179.96552937,144
2014,468065134,1567,298701.425654116,174
2015,529916946,1639,323317.233679073,196
2016,574580990,1789,321174.393515931,246
2017,563276147,1893,297557.394083465,301
2018,985878107,1997,493679.572859289,356
2019,1324977662,2608,508043.582055215,488
2020,1570741229,2922,537556.888774812,581
2021,2793192394,3114,896978.93192036,666
2022,2201929119,3185,691343.52244898,709
2023,2413571598,3256,741268.918304668,782
2024,3024194981,3449,876832.409683966,867
2025,3736807218,3639,1026877.4987634,954
